Centroid_Bi,Centroid_Uni,Event_Features,FirstRel_Doc,FreqWord_Bi,FreqWord_Uni,Label,SigTerm_Bi,SigTerm_Uni,doc_first,entity_score,length,position,quote
3.31540424969,3.42750950587,4,0.117851130198,2,4,0,11,12,0,3.0,25,0,0
4.472135955,4.55725501108,9,0.0890870806375,0,4,0,20,21,0,5.0,34,0,2
3.74165738677,3.85991072919,3,0.0,1,2,0,14,15,0,1.0,28,0,0
3.46410161514,3.58632360144,1,0.113227703414,0,2,0,12,13,0,1.0,30,0,0
2.64429485859,2.80171747075,5,0.0721687836487,1,2,0,7,8,0,1.0,21,0,0
2.44948974278,2.61371518594,1,0.0,0,3,0,6,7,0,0.0,15,0,0
3.16227766017,3.30183230649,1,0.123091490979,1,1,0,10,11,0,0.0,21,0,0
3.20713490295,3.1402914764,5,0.0495073771488,2,4,0,11,11,0,1.0,26,0,0
2.99867572667,3.13416994956,2,0.0,1,4,0,9,10,0,0.0,19,0,0
3.60555127546,3.73878741068,6,0.0,0,0,0,13,14,0,1.0,26,0,0
2.64325820415,2.81054672822,6,0.0,2,2,0,7,8,0,0.0,13,0,0
4.57987694027,4.46453770455,4,0.0,2,3,0,21,21,0,3.0,43,0,0
3.46292493172,3.57588070358,1,0.0,1,3,0,12,13,0,0.0,27,0,0
3.4417649201,3.54986990459,5,0.113227703414,2,7,1,12,13,0,1.0,24,0,0
2.64575131106,2.81243249415,3,0.0721687836487,0,4,0,7,8,0,1.0,14,0,0
2.64575131106,2.81039880779,1,0.0,1,2,0,7,8,0,1.0,17,0,0
2.44948974278,2.62861228661,3,0.077151674981,0,4,0,6,7,0,1.0,14,0,0
1.41421356237,1.72657945192,1,0.0,0,1,0,2,3,0,0.0,8,0,0
2.44135459358,2.63360717919,1,0.0,1,3,0,6,7,0,0.0,12,0,0
3.13897909764,3.26134801086,10,0.123091490979,6,4,0,10,11,0,0.5,23,0,0
2.44795353733,2.6280988716,6,0.0,2,3,0,6,7,0,1.0,14,0,0
2.44948974278,2.63807981447,2,0.0,0,1,0,6,7,0,0.0,17,0,0
2.0,2.22040885812,1,0.0,0,3,0,4,5,0,0.0,10,0,0
2.44948974278,2.31734430973,4,0.0,0,0,0,6,6,0,0.0,10,0,0
2.0,2.23075262179,1,0.0,0,0,0,4,5,0,0.0,13,0,0
3.87298334621,3.76461986817,1,0.0,0,0,0,15,15,0,0.0,25,0,0
4.11462418471,4.22031350836,2,0.0,3,6,0,17,18,0,2.0,33,0,0
2.79712978949,2.93923810547,5,0.136082763488,2,6,0,8,9,0,2.0,18,0,0
2.44948974278,2.63225390809,2,0.0,0,2,0,6,7,0,0.0,13,0,0
2.44948974278,2.63820114555,1,0.0,1,0,0,6,7,0,0.0,10,0,0
1.73205080757,1.99481200988,1,0.0,0,0,0,3,4,0,0.0,10,0,0
2.44115644598,2.62711270531,3,0.0,3,4,0,6,7,0,0.0,20,0,0
1.73205080757,1.97765332912,1,0.0,0,1,0,3,4,0,0.0,13,0,0
1.73205080757,1.99828013274,1,0.0,0,0,0,3,4,0,0.0,11,0,0
3.46410161514,3.58850166077,3,0.0566138517072,1,2,0,12,13,0,0.0,21,0,0
2.82842712475,2.47238814918,1,0.0,0,4,0,8,7,0,0.0,21,0,0
1.41421356237,1.72073415492,1,1.0,0,2,0,2,3,1,0.0,5,1,0
2.82842712475,2.97918319495,9,0.0,2,1,0,8,9,0,1.0,12,0,0
2.98141391976,3.13281965485,5,0.0,2,5,0,9,10,0,2.0,18,0,0
1.41260523681,1.72700687201,1,0.0,1,2,0,2,3,0,0.0,4,0,0
3.99901628119,4.10476027262,7,0.0,1,2,0,16,17,0,3.0,36,0,0
1.73205080757,1.99837192456,1,0.0,0,0,0,3,4,0,0.0,11,0,0
1.99837192456,1.94258757723,1,0.0,1,3,0,4,4,0,0.0,10,0,0
1.41421356237,1.7182888105,1,0.333333333333,0,1,0,2,3,0,0.0,5,0,0
2.0,2.23452879453,4,0.0,0,1,0,4,5,0,0.0,13,0,0
2.64575131106,2.80615279272,3,0.0,1,1,0,7,8,0,2.0,13,0,0
2.82842712475,2.96473550308,2,0.0,2,2,0,8,9,0,1.0,21,0,0
1.73205080757,2.0,1,0.0,0,0,0,3,4,0,0.0,13,0,0
1.73205080757,1.976423044,1,0.0,0,2,0,3,4,0,0.0,7,0,0
3.0,3.15252867713,3,0.182574185835,1,2,0,9,10,0,1.0,18,0,0
1.41421356237,1.73035389831,1,0.0,0,0,0,2,3,0,0.0,8,0,0
1.0,1.41325299684,1,0.0,1,1,0,1,2,0,0.0,2,0,0
3.85798463365,3.95773131167,10,0.0,3,7,0,15,16,0,2.0,25,0,0
2.21292552997,2.41622768044,3,0.0,2,3,1,5,6,0,0.0,14,0,0
3.46410161514,3.6044739666,3,0.0,2,0,0,12,13,0,1.0,17,0,0
3.7243916529,3.84352274323,2,0.0,2,6,0,14,15,0,0.0,29,0,0
2.2360679775,2.4470899507,3,0.0,0,0,0,5,6,0,0.0,10,0,0
3.0,2.8814064184,1,0.0,0,0,0,9,9,0,0.0,19,0,0
2.2360679775,2.43824860553,1,0.0,0,3,0,5,6,0,0.0,15,0,0
3.0,3.15872094882,1,0.0,1,1,0,9,10,0,0.0,17,0,0
1.97492286356,2.19981232398,2,0.0,1,3,0,4,5,0,0.0,10,0,0
2.99628476252,2.8812593645,1,0.0,2,6,0,9,9,0,0.0,17,0,7
1.0,1.41260523681,1,0.408248290464,0,1,0,1,2,0,0.0,4,0,0
1.0,1.41397918972,1,0.0,1,2,0,1,2,0,0.0,3,0,0
2.44515125441,2.63063412126,1,0.0,2,4,0,6,7,0,0.0,22,0,0
2.4480349302,2.61383029667,7,0.0,1,3,0,6,7,0,1.0,11,0,0
1.73205080757,1.99509279954,1,0.0,0,1,0,3,4,0,0.0,4,0,0
